厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
江汽集团,瑞风RF8 PHEV,2024款,智聆版 1.5T 150KM 尊贵型,21.99,L2级智能驾驶辅助,"全速自适应巡航和车道保持辅助让您在行驶过程中尽情感受驾驶的轻松和安全。同时倒车车侧预警、交通拥堵系统辅助、道路交通标识识别,自动远近光灯切换、前/后方碰撞预警功能为您提供了更全面的驾驶信息和预警,贴心地照料着您的驾驶安全和舒适感受。并线辅助、主动刹车功能、盲点检测、开门预警系统,在复杂路况下为您提供更高级的安全保障。 ○选配5000元"
吉麦新能源,凌宝Uni,2022款,微甜版,3.48,微甜包,"分色车身,皮质座椅 ○选配2000元"
一汽-大众,ID.4 CROZZ,2024款,改款 PURE+,23.99,20英寸动感车轮包,"20英寸动感车轮包,20英寸动感铝轮辋,前轮胎235/50 R20+后轮胎255/45 R20 ○选配1500元"
一汽-大众,探岳GTE,2023款,280TSI  豪华Plus进阶版,24.29,INS 流星飞雨透光饰板包,"流星飞雨透光饰板包,30色可调尊贵内饰格调氛围灯 ○选配暂无价格"
一汽红旗,红旗天工08,2025款,605 先锋版,21.59,智享包,电吸门、AR-HUD 、感应式开启行李箱、主动弹起式发动机盖 ○选配4999元
广汽丰田,广汽丰田铂智4X,2024款,四驱560 MAX版,23.88,高性能20英寸轮毂套装,"20英寸大轮毂,外部供电（220V/1500W）,侧窗镀铬饰条,车顶扰流板,前百叶窗型下格栅银色加饰,nanoe™（纳诺怡）（一种纳米级的水微粒离子）;选装高性能20英寸轮毂套装的，则四驱 560 Max的标称CLTC续航里程为500km ○选配3000元"
广汽本田,广汽本田P7,2025款,后驱长续航Pro,19.99,个性套装,21英寸铝合金运动轮毂、超清电子外后视镜、智能流媒体内后视镜(带行车记录仪)、实景导航 ○选配25000元
比亚迪,唐DM,2024款,DM-p 215KM四驱战神版,26.98,高性能金甲黄六活塞定钳(前),●标配
上汽集团,荣威eRX5,2023款,超混尊荣版,15.99,4K全景智能交互滑移屏,●标配
东风本田,东风本田S7,2025款,650km 开拓者版,19.99,极速选装包,电子外后视镜、电子外后视镜显示屏、流媒体内后视镜(带行车记录仪)、21英寸铝合金运动轮毂(带谐撮块静音技术)、实景导航 ○选配9000元
吉利汽车,熊猫,2023款,200km 熊猫mini 灵动熊,5.39,来电科技包,快慢充一体充电口（22kW直流口+3.3kW交流口）+交流充电枪 ○选配1500元
上汽通用别克,别克E4,2023款,臻享版,18.29,臻选内饰套装,-内饰颜色：凝夜紫 或 豆蔻青 -高级打孔镶拼真皮座椅 ○选配2000元
合创汽车,合创007,2021款,PLUS版,29.98,天空之眼无人机系统,●标配
仰望,仰望U9,2024款,标准版,168.0,碳纤维天鹅颈大尾翼,○选配100000元
一汽-大众,探岳GTE,2023款,280TSI  豪华Plus进阶版,24.29,Side Assist变道辅助系统,"Side Assist变道辅助系统,RTA后方交通预警系统 ○选配暂无价格"
合创汽车,合创007,2021款,PLUS版,29.98,场景模式,在不同用车场景下为你提供多主题场景的切换功能，提升用车愉悦感，让你的爱车更懂你。 ○选配暂无价格
一汽-大众,探岳GTE,2023款,280TSI  豪华Plus进阶版,24.29,座椅通风及加热包,"前排座椅加热,前排座椅通风 ○选配暂无价格"
合创汽车,合创007,2021款,PLUS版,29.98,后排儿童照看功能,●标配
上汽通用雪佛兰,探界者Plus,2024款,1.5T 102km RS至臻版,16.99,ACTIV套件,○选配暂无价格
合创汽车,合创007,2021款,PLUS版,29.98,车内生命探测系统,○选配暂无价格
江汽集团,瑞风RF8 PHEV,2024款,鸿蒙版 1.5T 150KM 旗舰型,25.99,L2+选装包,高速公路领航、前向穿行预警、辅助自动变道为L2+级智能辅助驾驶包 ○选配10800元
吉利汽车,熊猫,2023款,120km 熊猫mini 萌萌熊,3.99,智趣科技包,8英寸中控屏+倒车影像+手机无线互联+APP远程查询/控制+蓝牙钥匙+无感解锁/启动（限时赠送） ○选配暂无价格
凯翼汽车,凯翼拾月,2023款,201km 踏浪版,5.39,电池包,电池容量：17.69kWh，电芯品牌：宁德时代，电池能量密度：129.1Wh/kg，慢充时间为9.8h ○选配1600元
凯翼汽车,凯翼拾月,2023款,201km 尊享版,7.98,电池包,电池容量：17.69kWh，电芯品牌：宁德时代，电池能量密度：129.1Wh/kg，慢充时间为9.8h ○选配1600元
奇瑞汽车,瑞虎9,2026款,2.0T AT四驱旗舰版,20.39,旗舰七座包,三排座椅（电动调节）+三排空调 ○选配6000元
奇瑞汽车,瑞虎9,2025款,2.0T AT四驱旗舰版,20.39,旗舰七座包,三排座椅（电动调节）+三排空调 ○选配6000元
比亚迪,唐DM,2024款,DM-p 荣耀版 215KM四驱尊享型,22.98,高性能中国红四活塞定钳(前),●标配
比亚迪,唐DM,2024款,DM-p 荣耀版 215KM四驱旗舰型,24.98,高性能中国红四活塞定钳(前),●标配
吉利汽车,熊猫,2023款,200km 熊猫mini 小黄鸭限定版 开心吖,5.39,小黄鸭外观套件,小黄鸭联名外观	小黄鸭联名轮毂 ●标配
吉利汽车,熊猫,2023款,200km 熊猫mini 小黄鸭限定版 幸运吖,5.69,小黄鸭外观套件,小黄鸭联名外观	小黄鸭联名轮毂 ●标配
广汽传祺,传祺E8 PHEV,2024款,2.0ATK 150km MAX版,22.98,副驾座椅通风加热/方向盘加热,副驾座椅通风/加热、方向盘加热 ○选配1000元
广汽传祺,传祺E8 PHEV,2024款,2.0ATK 150km MAX+,23.28,副驾座椅通风加热/方向盘加热,副驾座椅通风/加热、方向盘加热 ○选配1000元
一汽奥迪,奥迪A3,2025款,Sportback 35 TFSI 飞驰悦享型,16.59,后视辅助泊车舒适包,"倒车影像系统,前后倒车雷达带模拟图像 ○选配3200元"
一汽奥迪,奥迪A3,2025款,A3L Limousine 35 TFSI 飞驰悦享型,16.99,后视辅助泊车舒适包,"倒车影像系统,前后倒车雷达带模拟图像 ○选配3200元"
广汽丰田,凯美瑞,2025款,双擎 2.5HG 尊贵智行版,21.98,律动氛围包,64色可调羽翼氛围灯、IP高级纹路饰板、智能香氛系统 ○选配2000元
广汽丰田,凯美瑞,2025款,双擎 2.5HXS 运动Plus智行版,22.68,律动氛围包,64色可调羽翼氛围灯、IP高级纹路饰板、智能香氛系统 ○选配2000元
长安汽车,长安欧尚Z6 iDD新能源,2023款,智电iDD 150KM旗舰PLUS,16.58,眼神唤醒交互系统,●标配
长安汽车,长安欧尚Z6 iDD新能源,2023款,智电iDD 150KM旗舰PLUS智慧泊车版,17.58,眼神唤醒交互系统,●标配
领克,领克03,2026款,03+ 2.0TD Racing版,28.88,宽体选装包,前保宽体设计+前制动系统散热设计+碳纤维翼子板+前轮宽胎 ○选配40000元
领克,领克03,2023款,03+ Racing 四驱版,28.58,宽体选装包,前保宽体设计、前制动系统散热设计、碳纤维翼子板、前轮宽胎 ○选配40000元
凯翼汽车,凯翼拾月,2023款,201km 尊享版,7.98,专用舒适包,石墨烯方向盘套+座椅坐垫 ○选配暂无价格
凯翼汽车,凯翼拾月,2023款,301km 尊享版,9.98,专用舒适包,石墨烯方向盘套+座椅坐垫 ○选配暂无价格
奇瑞汽车,瑞虎9,2026款,2.0T AT四驱臻享版,18.39,豪华七座包,三排座椅（手动调节）+二排新风系统+二排空调面板+B柱出风口+二排座椅加热 ○选配5000元
奇瑞汽车,瑞虎9,2025款,2.0T AT四驱臻享版,18.39,豪华七座包,三排座椅（手动调节）+二排新风系统+二排空调面板+B柱出风口+二排座椅加热 ○选配5000元
上汽大众,帕萨特PHEV,2023款,430PHEV 混动精英版,23.315,变道辅助功能,"变道辅助,RCTA驶出车位辅助 ○选配1000元"
上汽大众,帕萨特PHEV,2023款,430PHEV 混动豪华版,24.215,变道辅助功能,"变道辅助,RCTA驶出车位辅助 ○选配1000元"
上汽大通,大家7 EV,2023款,高山换电版(不含电池),20.58,矩阵式星轨六座副驾座椅,带电动调节，电动腿托，一键旋转，座椅加热，无通风功能、无ISOFIX装备 ○选配5000元
上汽大通,大家7 EV,2023款,高山加长续航版,29.98,矩阵式星轨六座副驾座椅,带电动调节，电动腿托，一键旋转，座椅加热，无通风功能、无ISOFIX装备 ○选配5000元
上汽大通,大家7 EV,2023款,高山换电版(不含电池),20.58,CMS电子外后视镜,电动加热，电动折叠，触控调节 ○选配5000元
上汽大通,大家7 EV,2023款,高山加长续航版,29.98,CMS电子外后视镜,电动加热，电动折叠，触控调节 ○选配5000元
蔚来,蔚来ES6,2024款,75kWh,33.8,全享套装,方向盘加热 、前排座椅通风、前排座椅按摩 、后排座椅加热、智能香氛系统、门槛踏板迎宾灯、后排座椅通风、后排座椅按摩 ○选配15000元
蔚来,蔚来ES6,2024款,100kWh,39.6,全享套装,方向盘加热 、前排座椅通风、前排座椅按摩 、后排座椅加热、智能香氛系统、门槛踏板迎宾灯、后排座椅通风、后排座椅按摩 ○选配15000元
东风汽车,纳米01,2024款,430Plus,9.78,舒享包2,540°全景影像+后视镜电动折叠+锁车自动折叠*已停售 ○选配799元
东风汽车,纳米01,2024款,430Max,10.48,舒享包2,后视镜电动折叠+锁车自动折叠*已停售 ○选配399元
吉利汽车,熊猫,2024款,200km 熊猫mini 龙腾版,3.99,萌趣智慧包,8英寸中控屏+倒车影像+手机无线互联+APP远程查询/控制+蓝牙钥匙+无感解锁/启动 ○选配暂无价格
吉利汽车,熊猫,2024款,200km 熊猫卡丁,4.69,萌趣智慧包,8英寸中控屏+倒车影像+手机无线互联+APP远程查询/控制+蓝牙钥匙+无感解锁/启动 ○选配暂无价格
江铃集团新能源,小麒麟,2024款,PLUS 舒适型,4.99,中控屏+倒车影像+车载互联系统,中控屏+倒车影像+车载互联系统 ○选配1500元
江铃集团新能源,小麒麟,2023款,吉祥版 舒适型,4.99,中控屏+倒车影像+车载互联系统,中控屏+倒车影像+车载互联系统 ○选配1500元
上汽奥迪,奥迪A7L,2025款,45 TFSI quattro 黑武士版,47.97,领潮至享套装 Lite,激光雷达ACC全速域自适应巡航、交通标志识别的摄像头识别及实时显示、变道辅助、开门及倒车预警、车道保持辅助带紧急状态介入、组合式后部预碰撞安全系统、前方交叉路口交通辅助系统、四幅多功能真皮方向盘，带换挡拨片及加热功能、Bang＆Olufsen 3D环绕音响系统、多层隔音玻璃、后排隐私玻璃、不锈钢踏板、金属光泽按键，带触控反馈的钢琴烤漆按键、扩展皮革装备包 ○选配暂无价格
上汽奥迪,奥迪A7L,2025款,45 TFSI quattro 黑武士版,47.97,领潮至享套装 Lite,激光雷达ACC全速域自适应巡航、交通标志识别的摄像头识别及实时显示、变道辅助、开门及倒车预警、车道保持辅助带紧急状态介入、组合式后部预碰撞安全系统、前方交叉路口交通辅助系统、四幅多功能真皮方向盘，带换挡拨片及加热功能、Bang＆Olufsen 3D环绕音响系统、多层隔音玻璃、后排隐私玻璃、不锈钢踏板、金属光泽按键，带触控反馈的钢琴烤漆按键、扩展皮革装备包 ○选配暂无价格
上汽奥迪,奥迪A7L,2025款,45 TFSI quattro 黑武士版,47.97,领潮至享套装,激光雷达ACC全速域自适应巡航、交通标志识别的摄像头识别及实时显示、变道辅助、开门及倒车预警、车道保持辅助带紧急状态介入、组合式后部预碰撞安全系统、前方交叉路口交通辅助系统、四幅多功能真皮方向盘，带换挡拨片及加热功能、立体肌纹 碳纤维饰板、Bang＆Olufsen 3D环绕音响系统、多层隔音玻璃、后排隐私玻璃、不锈钢踏板、金属光泽按键，带触控反馈的钢琴烤漆按键、扩展皮革装备包 ○选配暂无价格
上汽奥迪,奥迪A7L,2025款,45 TFSI quattro 黑武士版,47.97,领潮至享套装,激光雷达ACC全速域自适应巡航、交通标志识别的摄像头识别及实时显示、变道辅助、开门及倒车预警、车道保持辅助带紧急状态介入、组合式后部预碰撞安全系统、前方交叉路口交通辅助系统、四幅多功能真皮方向盘，带换挡拨片及加热功能、立体肌纹 碳纤维饰板、Bang＆Olufsen 3D环绕音响系统、多层隔音玻璃、后排隐私玻璃、不锈钢踏板、金属光泽按键，带触控反馈的钢琴烤漆按键、扩展皮革装备包 ○选配暂无价格
曹操汽车,曹操60,2024款,60,12.98,安全舒适包,前排座椅侧安全气囊、行李箱搁物板 ○选配2000元
曹操汽车,曹操60,2024款,60 出行版,16.98,安全舒适包,前排座椅侧安全气囊、行李箱搁物板 ○选配2000元
吉利几何,吉利几何A,2024款,改款 410KM 出行版,17.58,出租车选装包,顶灯接口、计价器接口、机械传感器接口、窗式天线、副驾安全带未系提醒、后排安全带未系提醒、副驾乘员监测装置 ○选配暂无价格
吉利几何,吉利几何A,2024款,500KM 出行版,18.38,出租车选装包,顶灯接口、计价器接口、机械传感器接口、第三方屏预留接口、窗式天线、副驾安全带未系提醒、后排安全带未系提醒、副驾乘员监测装置 ○选配暂无价格
上汽大众,大众ID.3,2025款,聪明款 纯净智享版,12.9888,车身同色车顶,指导价-1000 ○选配暂无价格
上汽大众,大众ID.3,2024款,纯净智享版,16.3888,车身同色车顶,指导价-1000 ○选配暂无价格
长城汽车,坦克700 Hi4-T,2024款,首发限定版,70.0,拖车套装,电动拖车装置+拖车取电口（最大允许牵引质量2500kg） ○选配10000元
长城汽车,坦克700 Hi4-T,2024款,首发限定版,70.0,拖车套装,电动拖车装置+拖车取电口（最大允许牵引质量2500kg） ○选配10000元
长城汽车,坦克700 Hi4-T,2024款,极境版,46.8,外观组合,22寸轮毂、布罗莫火山之眼激光大灯 ○选配35000元
长城汽车,坦克700 Hi4-T,2024款,极境版,46.8,外观组合,22寸轮毂、布罗莫火山之眼激光大灯 ○选配35000元
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,猎影黑化套件,前后保险杠银色护板、窗框饰条、侧裙饰条、侧裙亮条贴膜黑化以及四轮轮毂、后门字标喷漆黑化 ●标配
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,猎影黑化套件,前后保险杠银色护板、窗框饰条、侧裙饰条、侧裙亮条贴膜黑化以及四轮轮毂、后门字标喷漆黑化 ●标配
长城汽车,蓝山,2023款,两驱长续航版,27.38,舒适进阶包,包含:21英寸轮毂(配265/45R21静音轮胎)、麂皮绒包覆内饰(ABC柱/顶棚/遮阳板饰板) ○选配暂无价格
长城汽车,蓝山,2023款,四驱超长续航版,30.88,舒适进阶包,包含:21英寸轮毂(配265/45R21静音轮胎)、麂皮绒包覆内饰(ABC柱/顶棚/遮阳板饰板) ○选配暂无价格
奇瑞汽车,捷途山海T1,2024款,1.5TD 向海,17.48,下沉式车载冰箱,○选配3000元
奇瑞汽车,捷途山海T1,2024款,1.5TD 星月女神,17.88,下沉式车载冰箱,○选配3000元
江汽集团,钇为3,2023款,405km Pro,10.79,辅助驾驶包,含盲点监测（BSD）、换道监测（LCW）、门开监测预警（DOW）、倒车横向预警（CTA）、车道偏离预警（LDW）、前碰预警（FCW）、远近光自动切换（HMA）、车道保持系统（LKA）、自适应巡航（ACC）、AEB自动紧急制动（带行人识别）、智能领航系统（TJA/ICA）、交通标识识别（TSR）、前排预紧式限力式安全带、前排CLT动态锁舌、后排外侧预紧限力式安全带、后排安全带未系提醒、E-CALL、B-CALL ○选配暂无价格
江汽集团,钇为3,2023款,505km Pro,11.79,辅助驾驶包,含盲点监测（BSD）、换道监测（LCW）、门开监测预警（DOW）、倒车横向预警（CTA）、车道偏离预警（LDW）、前碰预警（FCW）、远近光自动切换（HMA）、车道保持系统（LKA）、自适应巡航（ACC）、AEB自动紧急制动（带行人识别）、智能领航系统（TJA/ICA）、交通标识识别（TSR）、前排预紧式限力式安全带、前排CLT动态锁舌、后排外侧预紧限力式安全带、后排安全带未系提醒、E-CALL、B-CALL ○选配暂无价格
江汽集团,钇为3,2024款,挚爱版 405km Air,9.99,潮玩套装A（已停止选装）,含大灯灯语、15.6英寸中控大屏、手机无线充电、大尺寸美妆镜 ○选配暂无价格
